repository,name,path,roles,use_case,inputs_summary,outputs_summary,readiness,license,license_path,copied,runtime_installed,legal_accuracy_validated,integration_notes,source_url,sha256
lq-ai,action-items-from-client-alert,skills/action-items-from-client-alert/SKILL.md,Legal operations; paralegals; regulatory counsel,Client-alert action checklist,"Alert document; optional organization, jurisdictions, business areas and alert date",Dated mandatory/recommended/informational/conditional items with source citations and owner gaps,Prompt template,Apache-2.0,LICENSE,True,False,False,Useful extraction pattern; source is a secondary alert. Do not reuse as a court-order deadline calculator. Verify underlying law separately.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/action-items-from-client-alert/SKILL.md,3a253ec7cb2d7bb3c66e58a140aac4f63422f2d4d5d1d9be48dc695a47e61735
lq-ai,case-law-research,skills/case-law-research/SKILL.md,Research attorneys; litigators; associates,Authority research trail,Question and jurisdiction; CourtListener search and opinion tools,"Read authorities, passages, jurisdiction fit, search trail, currentness and coverage gaps",Tool-backed prompt template,Apache-2.0,LICENSE,True,False,False,Strong search-versus-read distinction. No citator or comprehensive statutory research. Separate quoted and paraphrased passages visibly.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/case-law-research/SKILL.md,e8b9e171a21e6396e3fe8f82365451ce33d9114076a8a5b807b49f12eb5cd6b5
lq-ai,comms-improver,skills/comms-improver/SKILL.md,Client teams; partners; paralegals,Plain-language client update,"Existing text, audience; optional purpose/tone/length/preserved terms",Rewrite plus changed terms and meaning-preservation concerns,Prompt template,Apache-2.0,LICENSE,True,False,False,"Preserve dates, amounts, negations, conditions and legal terms; compare against original. It is not from-scratch advice or AI-detection evasion.",https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/comms-improver/SKILL.md,9614f50b69eb4220a61c807d6cae2848f008208517082ebbca11764b70a42b50
lq-ai,contract-qa,skills/contract-qa/SKILL.md,Litigators; contract counsel; associates,Document-specific answer with cross-reference context,"One document and question; optional contract type, perspective, jurisdiction, prior context","Answer shape matched to question, exact clause citations and open issues",Prompt template,Apache-2.0,LICENSE,True,False,False,Single-document scope. SKILL Type C-F and test-plan Type C-F disagree. Clause/page citations need a structured adapter to the runtime citation engine.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/contract-qa/SKILL.md,9a7fa2522bfb83eedc45e5c464ed835b1a375c8efa32e4f836f60a0fdbadcbbc
lq-ai,contract-snapshot,skills/contract-snapshot/SKILL.md,Document-review teams; litigation support,Four-column review grid,Selected documents in runtime; questions declared as columns,"Term, survival, carveouts, governing-law/venue cells with citations",Configured table template,Apache-2.0,LICENSE,True,False,False,Per-column model tier/ensemble is useful. Runtime top-four lexical chunks does not establish full-document absence. Distinguish not_found from failed/incomplete.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/contract-snapshot/SKILL.md,8dc4ddce064b80c557917baae2da29ca2bfd614c0fb219136336663b146bb0c1
lq-ai,dpa-checklist-review,skills/dpa-checklist-review/SKILL.md,Privacy counsel; vendor diligence,Processing-agreement term coverage,"DPA/BAA and regime; optional party role, data types and transfer context","Term checklist, gaps, proposed language and overall posture",Prompt template,Apache-2.0,LICENSE,True,False,False,Uses compliance-sounding conclusions despite support-only scope. Replace certification-style labels with term coverage and source/version checks; multiple regimes require separate review.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/dpa-checklist-review/SKILL.md,a650e901b216be048cf247c4487772574db6a5a2f486d1c11ff284a40bb61aa9
lq-ai,enhance-prompt,skills/enhance-prompt/SKILL.md,All firm users; workflow builders,Editable task scoping assistant,"Raw request; optional files, history, skills and jurisdiction",Expansion-or-skip plus concise reasons for changes,Prompt template,Apache-2.0,LICENSE,True,False,False,Good optional preflight; preserve user intent and scope. Do not auto-add sources/tools or increase access based on inferred intent.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/enhance-prompt/SKILL.md,e35f77e9ac90eeb3c5639ade915a9beaf2843a6248884d6a5eab91b18e3c14c1
lq-ai,msa-review-commercial-purchase,skills/msa-review-commercial-purchase/SKILL.md,Commercial counsel; operations,Goods/services purchase review,"Document and buyer/supplier perspective; optional goods/services, industry, PO and firm positions","Framework issues, operational risks, order conflicts and cited drafting proposals",Prompt template,Apache-2.0,LICENSE,True,False,False,Do not confuse this broader goods/services review skill with the services-oriented YAML playbook. Legal rules and industry overlays are not verified by this review.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/msa-review-commercial-purchase/SKILL.md,50d12045b7ac165fcb93b07b1a0d986a7d593a79cb2b4834633ad5a762f4bd88
lq-ai,msa-review-saas,skills/msa-review-saas/SKILL.md,Commercial counsel; vendor diligence,SaaS master agreement review,"Document and vendor/customer perspective; optional order form, prior agreements, depth and firm positions",Clause review plus order-form/prior-agreement conflicts and recommendations,Prompt template,Apache-2.0,LICENSE,True,False,False,Related-document precedence pattern is useful. Legal standards and fixed risk thresholds need firm/current-source validation; supports seven named passes despite a six-pass introduction.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/msa-review-saas/SKILL.md,58ef58570b6a7fb12783084cc631b529677916f55de206ef4e080baff4fcb241
lq-ai,msa-snapshot,skills/msa-snapshot/SKILL.md,Document-review teams; litigation support,MSA comparison grid,Selected MSA documents in runtime,"Term/renewal, payment, liability and indemnification cells with citations",Configured table template,Apache-2.0,LICENSE,True,False,False,"Same coverage limits; definitions, carveouts and schedule precedence need full-source/context expansion.",https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/msa-snapshot/SKILL.md,d7da8c52a0f3cbbbfe5fffc73ad9fc334459af7e83e84405f1b2be1c1c749ee0
