document_id,sha256,title,title_source,format,format_group,bytes,relative_path,source_jurisdictions,source_courts,source_collection_ids,source_urls,source_occurrences,source_record_count,metadata_page_count,word_content_controls,word_revision_elements,pdf_xfa,pdf_field_roots,review_status,technical_flags,library_status,language,language_note,title_confidence,title_evidence,publisher_scope_note,source_date,source_date_kind,previous_title,previous_path
sha256:15564061e2a6e3a0a1879480e61e6f618f59dbe9e12ad03d7fa450dd2b02ef66,15564061e2a6e3a0a1879480e61e6f618f59dbe9e12ad03d7fa450dd2b02ef66,Motion for Extension of Time to File Responsive Pleadings,manual official-source document review,pdf,PDF,14653,02-State/Louisiana/Local-Courts/Orleans-Parish-Civil-District-Court/PDF/Motion for Extension of Time to File Responsive Pleadings.pdf,Louisiana,Orleans Parish Civil District Court,LC:la_orleans,https://www.orleanscivildistrictcourt.org/s/suits-4-neax.pdf,1,1,,,,,,Title and language checked; legal applicability not reviewed,,included,English,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,high,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,The live publication of a blank form does not establish that every provision remains applicable; verify the court and matter before use.,2021-06,printed_revision_month,Motion for Extension of Time to File Responsive Pleadings,
sha256:2ef78bdf761e0b7c8c9ed83a4d4bfb359b97df95f0ea0f7a722756db74b77929,2ef78bdf761e0b7c8c9ed83a4d4bfb359b97df95f0ea0f7a722756db74b77929,Standing Order for Civil Trials Before Judge Chhabria,manual official-source document review,pdf,PDF,229892,01-Federal/03-District-Courts/California-Northern/PDF/Standing Order for Civil Trials Before Judge Chhabria.pdf,Federal,California Northern district court,FD:cand,https://cand.uscourts.gov/sites/default/files/standing-orders/VC-Civil-Trial-Standing-Order_6-26-2026.pdf,1,1,,,,,,Title and language checked; legal applicability not reviewed,,included,English,"Official English title and readable first-page document text inspected; this is a language/title check, not a full legal-content review.",high,"Official English title and readable first-page document text inspected; this is a language/title check, not a full legal-content review.","Currently linked by the official source on the observation date; use the stated edition and check subsequent changes. Judge's current official standing-orders table lists June 26, 2026 as effective date.",2026-06-26,effective_date_in_official_judge_table,Standing Order for Civil Trials Before Judge Chhabria,
sha256:6294102c09c32593484fc17709cb6421b93a7d3bf23a7dd61d84957f091fcbd8,6294102c09c32593484fc17709cb6421b93a7d3bf23a7dd61d84957f091fcbd8,California - Rules of Court - Title 3 Civil Rules,manual official-source document review,pdf,PDF,1483258,02-State/California/Statewide-Collection/PDF/California - Rules of Court - Title 3 Civil Rules.pdf,California,California state collection,ST:ca_state,https://courts.ca.gov/system/files?file=file/roc-title-3_3.pdf,1,1,,,,,,Title and language checked; legal applicability not reviewed,,included,English,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,high,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,"Published from the current statewide rules directory. The listed date is an observed individual rule date, not a compilation-wide effective date; consult each rule history and later amendments.",2026-01-01,individual_rule_effective_date_example,California - Rules of Court - Title 3 Civil Rules,
sha256:9561e1ac0fa07ba5b1f1fde6bc9b45f1dd88d96fa51954f8fbc3c459c948314f,9561e1ac0fa07ba5b1f1fde6bc9b45f1dd88d96fa51954f8fbc3c459c948314f,In Forma Pauperis Affidavit,manual official-source document review,pdf,PDF,243303,02-State/Louisiana/Local-Courts/Orleans-Parish-Civil-District-Court/PDF/In Forma Pauperis Affidavit.pdf,Louisiana,Orleans Parish Civil District Court,LC:la_orleans,https://www.orleanscivildistrictcourt.org/s/formapauperisapp.pdf,1,1,,,,,,Title and language checked; legal applicability not reviewed,,included,English,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,high,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,The live publication of a blank form does not establish that every provision remains applicable; verify the court and matter before use.,,not_established,In Forma Pauperis Affidavit,
sha256:95cf391e253ecf07a1bc847b37cf4df7bfd0ed57a53e94a14f7d16c7f959c545,95cf391e253ecf07a1bc847b37cf4df7bfd0ed57a53e94a14f7d16c7f959c545,California - Rules of Court - Title 2 Trial Court Rules,manual official-source document review,pdf,PDF,945660,02-State/California/Statewide-Collection/PDF/California - Rules of Court - Title 2 Trial Court Rules.pdf,California,California state collection,ST:ca_state,https://courts.ca.gov/system/files?file=file/roc-title-2.pdf,1,1,,,,,,Title and language checked; legal applicability not reviewed,,included,English,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,high,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,"Published from the current statewide rules directory. The listed date is an observed individual rule date, not a compilation-wide effective date; consult each rule history and later amendments.",2026-01-01,individual_rule_effective_date_example,California - Rules of Court - Title 2 Trial Court Rules,
sha256:aa5f536dfdbc24ac97cf497d1d53b1992b73951fe4ac7609a5a081aaa14f68a0,aa5f536dfdbc24ac97cf497d1d53b1992b73951fe4ac7609a5a081aaa14f68a0,Civil Cover Sheet,manual official-source document review,pdf,PDF,205771,02-State/Louisiana/Local-Courts/Orleans-Parish-Civil-District-Court/PDF/Civil Cover Sheet.pdf,Louisiana,Orleans Parish Civil District Court,LC:la_orleans,https://www.orleanscivildistrictcourt.org/s/coversheet.pdf,1,1,,,,,,Title and language checked; legal applicability not reviewed,,included,English,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,high,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,The live publication of a blank form does not establish that every provision remains applicable; verify the court and matter before use.,2006-03,printed_revision_month,Civil Cover Sheet,
sha256:dfba62bcd1270c13f654c231940b69441f6bcc007192609ee0d0f9e27f6505ee,dfba62bcd1270c13f654c231940b69441f6bcc007192609ee0d0f9e27f6505ee,Exhibit List - Form 73,manual official-source document review,pdf,PDF,19998,02-State/Louisiana/Local-Courts/Orleans-Parish-Civil-District-Court/PDF/Exhibit List - Form 73.pdf,Louisiana,Orleans Parish Civil District Court,LC:la_orleans,https://www.orleanscivildistrictcourt.org/s/trial-1.pdf,1,1,,,,,,Title and language checked; legal applicability not reviewed,,included,English,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,high,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,The live publication of a blank form does not establish that every provision remains applicable; verify the court and matter before use.,,not_established,Exhibit List - Form 73,
sha256:f83cca065bb7ce0f8a3432708b17b9e8356b3d302d57211233018eaa5d72f7dc,f83cca065bb7ce0f8a3432708b17b9e8356b3d302d57211233018eaa5d72f7dc,Motion to Set for Trial on the Merits - Form 85,manual official-source document review,pdf,PDF,28486,02-State/Louisiana/Local-Courts/Orleans-Parish-Civil-District-Court/PDF/Motion to Set for Trial on the Merits - Form 85.pdf,Louisiana,Orleans Parish Civil District Court,LC:la_orleans,https://www.orleanscivildistrictcourt.org/s/form85-saac.PDF,1,1,,,,,,Title and language checked; legal applicability not reviewed,,included,English,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,high,English document text inspected; image-only cover sheet and extension motion visually reviewed in rendered originals,The printed revision year is ambiguous and has not been normalized. The form quotes local Rule 10 and needs current local-rule review. Checkbox glyphs render as 9 in the original preview; verify form behavior before automated filling.,,ambiguous_printed_revision,Motion to Set for Trial on the Merits - Form 85,
sha256:a0d9dbfd3b591fe98b216c90347daaf3070b948202bdaf5a8fc876fe77820fda,a0d9dbfd3b591fe98b216c90347daaf3070b948202bdaf5a8fc876fe77820fda,"Guide to Judiciary Policy - Volume 2, Part B, Chapter 2: Published Advisory Opinions",manual document review,pdf,PDF,1059214,"01-Federal/01-National/PDF/Guide to Judiciary Policy - Volume 2, Part B, Chapter 2 Published Advisory Opinions.pdf",Federal,National federal collection,NAT:uscourts_national,https://www.uscourts.gov/sites/default/files/guide-vol02b-ch02_1.pdf,1,1,256,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,English in the inspected first-page/body excerpts and available first-three-page / last-page samples. This bounded title audit is not an all-page language certification.,high,"[{""kind"": ""original_content_excerpt"", ""page"": 1, ""extraction_method"": ""PyMuPDF first-page spatial text"", ""anchor"": ""Guide to Judiciary Policy"", ""excerpt"": ""Guide to Judiciary Policy Vol. 2: Ethics and Judicial Conduct Pt. B: Ethics Advisory Opinions Ch. 2: Published Advisory Opinions § 210 Index § 220 Committee on Codes of Conduct Advisory Opinions No. 2: Service on Governing Boards of Nonprofit Organizations No. 3: Participation in a Seminar of General Character No. 7: Service as Faculty Member of the National College of State Trial Judges No. 9: Testifying as a Character Witness No. 11: Disqualification Where Long-Time Friend or Friend’s Law Firm Is Counsel No. 17: Acceptance of Hospitality and Travel Expense Reimbursements From Lawyers No. 19: Membership in a Political Club No. 20: Disqualification Based on Stockholdings by Household Family Member No. 24: Financial Settlement and Disqualification on Resignation Fro"", ""whitespace_normalized"": true, ""source_url"": ""https://www.uscourts.gov/sites/default/files/guide-vol02b-ch02_1.pdf"", ""local_original"": ""01-Federal/01-National/PDF/Advisory Opinion 116 Participation in Educational Seminars Sponsored by Research Institutes, Think Tanks, Asso -- a0d9dbfd3b59.pdf""}]",Federal judiciary Guide to Judiciary Policy chapter containing published ethics advisory opinions; title describes the full 256-page original.; ethics reference chapter; The first-page cover and 256-page extent identify the whole Published Advisory Opinions chapter. Advisory Opinion 116 is only a component linked within that chapter and is not the title of the downloaded file.,,,"Advisory Opinion 116 Participation in Educational Seminars Sponsored by Research Institutes, Think Tanks, Associations, Public Interest Groups, or Other Organizations Engaged in Pu","01-Federal/01-National/PDF/Advisory Opinion 116 Participation in Educational Seminars Sponsored by Research Institutes, Think Tanks, Asso -- a0d9dbfd3b59.pdf"
sha256:6a75b8821d0480b609797d2b07b5bd7b19d23ca9f4a5de18c01ef3174b26a2ba,6a75b8821d0480b609797d2b07b5bd7b19d23ca9f4a5de18c01ef3174b26a2ba,Appearance Bond of Witness,source label corroborated by document text,pdf,PDF,304477,01-Federal/01-National/PDF/Appearance Bond of Witness.pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/ao099.pdf,1,1,2,,,False,28,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Appearance Bond of Witness"", ""matched_first_page_words"": [""appearance"", ""bond"", ""witne""], ""first_page_word_coverage"": 1.0, ""visible_heading"": ""APPEARANCE BOND OF WITNESS""}",,,,Appearance Bond of Witness,01-Federal/01-National/PDF/Appearance Bond of Witness -- 6a75b8821d04.pdf
