court_id,court_name,judge_name,kind,identity_scope,observed_on_single_registry_entry,title,local_path,width,height,mime_type,sha256,source_page,asset_url,retrieved_at,reuse_note
F:ca1,United States Court of Appeals — First Circuit,,court_seal,federal_court_site_mark,True,United States Court of Appeals — First Circuit - official-site identity mark,images/db/db6e4f21338b6e14df0336dc80a018f04d7ae64dbd4a270ddd9e6dadd10be264.png,126,133,image/png,db6e4f21338b6e14df0336dc80a018f04d7ae64dbd4a270ddd9e6dadd10be264,https://www.ca1.uscourts.gov/,https://www.ca1.uscourts.gov/sites/ca1/files/seal_appellate_option1_1.png,2026-09-12T23:43:19.743313+00:00,Permission not established. Public availability is not a reuse license. Use only for clearly identified court reference; do not imply court endorsement. Check court terms before public deployment.
F:ca10,United States Court of Appeals — Tenth Circuit,,court_logo,federal_court_site_mark,True,United States Court of Appeals — Tenth Circuit - official-site identity mark,images/f9/f97c301c6c49402d7c7669b50bda72fe9a2aca6e815f11ee450d453005f70273.png,129,133,image/png,f97c301c6c49402d7c7669b50bda72fe9a2aca6e815f11ee450d453005f70273,https://www.ca10.uscourts.gov/,https://www.ca10.uscourts.gov/sites/ca10/files/CA10%20-%20Color%20-%20Option2.png,2026-09-12T23:46:22.252371+00:00,Permission not established. Public availability is not a reuse license. Use only for clearly identified court reference; do not imply court endorsement. Check court terms before public deployment.
F:ca11,United States Court of Appeals — Eleventh Circuit,,court_seal,federal_court_site_mark,True,United States Court of Appeals — Eleventh Circuit - official-site identity mark,images/df/dfb80555c0c23331cc61fda272526ab0e31b71a277003416f0606fdf6e3a3515.png,133,126,image/png,dfb80555c0c23331cc61fda272526ab0e31b71a277003416f0606fdf6e3a3515,https://www.ca11.uscourts.gov/,https://www.ca11.uscourts.gov/sites/default/themes/custom/uswds_base_subtheme/eleventh_appellate_court_seal.png,2026-09-12T23:43:20.405263+00:00,Permission not established. Public availability is not a reuse license. Use only for clearly identified court reference; do not imply court endorsement. Check court terms before public deployment.
F:ca11,United States Court of Appeals — Eleventh Circuit,,favicon,site_icon,False,United States Court of Appeals — Eleventh Circuit - official-site icon,images/c4/c4e4a7a6a6f1734b9939e03fc58e85eb91a0324967c7b0b26799db493ac138ad.gif,16,16,image/gif,c4e4a7a6a6f1734b9939e03fc58e85eb91a0324967c7b0b26799db493ac138ad,https://www.ca11.uscourts.gov/,https://www.ca11.uscourts.gov/sites/default/files/favicon_0.ico,2026-09-12T23:43:20.605729+00:00,Permission not established. Public availability is not a reuse license. Use only for clearly identified court reference; do not imply court endorsement. Check court terms before public deployment.
F:ca2,United States Court of Appeals — Second Circuit,,court_logo,federal_court_site_mark,True,United States Court of Appeals for the Second Circuit header,images/e8/e8cdb3e1f192d3e8d4872d013a846f3e83bd4ba46779fe7463d9bddd8d05f7a6.png,1000,135,image/png,e8cdb3e1f192d3e8d4872d013a846f3e83bd4ba46779fe7463d9bddd8d05f7a6,https://www.ca2.uscourts.gov/,https://www.ca2.uscourts.gov/js/img/Header2b.png,2026-09-12T23:47:40.689001+00:00,Permission not established. Public availability is not a reuse license. Use only for clearly identified court reference; do not imply court endorsement. Check court terms before public deployment.
F:ca3,United States Court of Appeals — Third Circuit,,court_seal,federal_court_site_mark,True,United States Court of Appeals — Third Circuit - official-site identity mark,images/75/758c9fd88c17f31f74ff6397063911097f7d28a79ff5dc58bda653860db8b2eb.png,126,133,image/png,758c9fd88c17f31f74ff6397063911097f7d28a79ff5dc58bda653860db8b2eb,https://www.ca3.uscourts.gov/,https://www.ca3.uscourts.gov/sites/ca3/files/Third%20Circuit_LS_option1_0.png,2026-09-12T23:46:22.290167+00:00,Permission not established. Public availability is not a reuse license. Use only for clearly identified court reference; do not imply court endorsement. Check court terms before public deployment.
F:ca3,United States Court of Appeals — Third Circuit,,favicon,site_icon,False,United States Court of Appeals — Third Circuit - official-site icon,images/60/6091c776fb5c95cf1369be9ba026d59ea31b1b3f028a33187a7448b3034c43ee.png,120,120,image/png,6091c776fb5c95cf1369be9ba026d59ea31b1b3f028a33187a7448b3034c43ee,https://www.ca3.uscourts.gov/,https://www.ca3.uscourts.gov/sites/all/themes/appeals/apple-touch-icon-120x120.png,2026-09-12T23:46:22.443081+00:00,Permission not established. Public availability is not a reuse license. Use only for clearly identified court reference; do not imply court endorsement. Check court terms before public deployment.
F:ca3,United States Court of Appeals — Third Circuit,,favicon,site_icon,False,United States Court of Appeals — Third Circuit - official-site icon,images/c9/c96c8cdea312b83693a9c59c47d8f646a4091dcd535dd137cdb30d22165ce852.png,32,32,image/png,c96c8cdea312b83693a9c59c47d8f646a4091dcd535dd137cdb30d22165ce852,https://www.ca3.uscourts.gov/,https://www.ca3.uscourts.gov/sites/all/themes/appeals/favicon.ico,2026-09-12T23:43:19.862098+00:00,Permission not established. Public availability is not a reuse license. Use only for clearly identified court reference; do not imply court endorsement. Check court terms before public deployment.
F:ca4,United States Court of Appeals — Fourth Circuit,,court_logo,federal_court_site_mark,True,United States Court of Appeals for the Fourth Circuit,images/74/74023a3dc0afb78c9ec81fed69fdb27e435614d1f7629052ce5de60cc296dcb2.png,130,130,image/png,74023a3dc0afb78c9ec81fed69fdb27e435614d1f7629052ce5de60cc296dcb2,https://www.ca4.uscourts.gov/,https://www.ca4.uscourts.gov/images/theme/logo.png?sfvrsn=ba6ad309_4,2026-09-12T23:43:19.774859+00:00,Permission not established. Public availability is not a reuse license. Use only for clearly identified court reference; do not imply court endorsement. Check court terms before public deployment.
F:ca5,United States Court of Appeals — Fifth Circuit,,court_seal,federal_court_site_mark,True,Fifth Circuit Seal,images/e5/e55b4eb28e04f29358a9db22b1b8b5fe203140f3def1ab1b933463acfad7b378.svg,360.0,360.0,image/svg+xml,e55b4eb28e04f29358a9db22b1b8b5fe203140f3def1ab1b933463acfad7b378,https://www.ca5.uscourts.gov/,https://www.ca5.uscourts.gov/assets/COA-seal-court-of-appeals.svg,2026-09-12T23:43:19.948499+00:00,Permission not established. Public availability is not a reuse license. Use only for clearly identified court reference; do not imply court endorsement. Check court terms before public deployment.
